Date:date,year:year,Diesel (nominal):number,"All petrol, unleaded equivalent (nominal):number","All fuel, unleaded petrol equivalent (nominal):number","All fuel, unleaded petrol equivalent (real*):number","Average, all fuel, unleaded petrol equivalent (real*, weighted by consumption):number","All fuel, unleaded petrol equivalent (real*, excl. tax):text","Average, all fuel, unleaded petrol equivalent (real*, weighted by consumption, excl. tax):number","Diesel (nominal, excl. tax):text","All fuel, unleaded petrol equivalent (nominal, excl. tax):text","All petrol, unleaded equivalent (nominal, excl. tax):text"
2012-08-27,,1.548,1.7,1.483,1.513,1.163,,0.459,,,
2012-09-03,,1.536,1.693,1.473,1.494,1.163,,0.459,,,
2012-09-10,,1.545,1.706,1.482,1.504,1.163,,0.459,,,
2012-09-17,,1.533,1.685,1.469,1.49,1.163,,0.459,,,
2012-09-24,,1.516,1.674,1.455,1.476,1.163,,0.459,,,
2012-10-01,,1.515,1.663,1.451,1.469,1.163,,0.459,,,
2012-10-08,,1.524,1.664,1.457,1.475,1.163,,0.459,,,
2012-10-15,,1.524,1.66,1.456,1.474,1.163,,0.459,,,
2012-10-22,,1.519,1.636,1.446,1.463,1.163,,0.459,,,
2012-10-29,,1.507,1.61,1.431,1.448,1.163,,0.459,,,
2012-11-05,,1.501,1.599,1.423,1.444,1.163,,0.459,,,
2012-11-12,,1.492,1.589,1.415,1.436,1.163,,0.459,,,
2012-11-19,,1.489,1.593,1.414,1.435,1.163,,0.459,,,
2012-11-26,,1.49,1.597,1.416,1.437,1.163,,0.459,,,
2012-12-03,,1.486,1.583,1.409,1.425,1.163,,0.459,,,
2012-12-10,,1.473,1.573,1.399,1.414,1.163,,0.459,,,
2012-12-17,,1.458,1.564,1.386,1.401,1.163,,0.459,,,
2013-01-07,,1.472,1.577,1.396,1.424,1.163,,0.459,,,
2013-01-14,,1.474,1.58,1.398,1.426,1.163,,0.459,,,
2013-01-21,,1.466,1.57,1.39,1.418,1.163,,0.459,,,
2013-01-28,,1.468,1.574,1.393,1.421,1.163,,0.459,,,
2013-02-04,,1.471,1.59,1.399,1.422,1.163,,0.459,,,
2013-02-11,,1.483,1.606,1.411,1.434,1.163,,0.459,,,
2013-02-18,,1.492,1.618,1.421,1.444,1.163,,0.459,,,
2013-02-25,,1.484,1.615,1.415,1.437,1.163,,0.459,,,
2013-03-04,,1.481,1.614,1.412,1.422,1.163,,0.459,,,
2013-03-11,,1.468,1.597,1.399,1.408,1.163,,0.459,,,
2013-03-18,,1.467,1.59,1.397,1.406,1.163,,0.459,,,
2013-03-25,,1.465,1.602,1.398,1.408,1.163,,0.459,,,
2013-04-01,,1.47,1.618,1.406,1.415,1.163,,0.459,,,
2013-04-08,,1.468,1.607,1.402,1.41,1.163,,0.459,,,
2013-04-15,,1.446,1.589,1.382,1.391,1.163,,0.459,,,
2013-04-22,,1.419,1.565,1.358,1.366,1.163,,0.459,,,
2013-04-29,,1.415,1.565,1.356,1.364,1.163,,0.459,,,
2013-05-06,,1.406,1.558,1.348,1.354,1.163,,0.459,,,
2013-05-13,,1.416,1.557,1.354,1.36,1.163,,0.459,,,
2013-05-20,,1.428,1.568,1.365,1.372,1.163,,0.459,,,
2013-05-27,,1.427,1.571,1.365,1.372,1.163,,0.459,,,
2013-06-03,,1.424,1.57,1.363,1.368,1.163,,0.459,,,
2013-06-10,,1.419,1.567,1.359,1.364,1.163,,0.459,,,
2013-06-17,,1.417,1.566,1.358,1.362,1.163,,0.459,,,
2013-06-24,,1.42,1.563,1.358,1.363,1.163,,0.459,,,
2013-07-01,,1.418,1.557,1.356,1.366,1.163,,0.459,,,
2013-07-08,,1.425,1.562,1.362,1.372,1.163,,0.459,,,
2013-07-15,,1.442,1.583,1.378,1.389,1.163,,0.459,,,
2013-07-22,,1.454,1.601,1.391,1.401,1.163,,0.459,,,
2013-07-29,,1.444,1.59,1.382,1.392,1.163,,0.459,,,
2013-08-05,,1.445,1.591,1.383,1.391,1.163,,0.459,,,
2013-08-12,,1.442,1.585,1.379,1.388,1.163,,0.459,,,
2013-08-19,,1.445,1.59,1.382,1.391,1.163,,0.459,,,
2013-08-26,,1.45,1.59,1.386,1.394,1.163,,0.459,,,
2013-09-02,,1.467,1.608,1.402,1.405,1.163,,0.459,,,
2013-09-09,,1.474,1.608,1.406,1.409,1.163,,0.459,,,
2013-09-16,,1.475,1.595,1.403,1.407,1.163,,0.459,,,
2013-09-23,,1.459,1.576,1.388,1.391,1.163,,0.459,,,
2013-09-30,,1.449,1.561,1.377,1.38,1.163,,0.459,,,
2013-10-07,,1.44,1.546,1.367,1.371,1.163,,0.459,,,
2013-10-14,,1.439,1.543,1.366,1.37,1.163,,0.459,,,
2013-10-21,,1.438,1.543,1.364,1.369,1.163,,0.459,,,
2013-10-28,,1.425,1.53,1.353,1.358,1.163,,0.459,,,
2013-11-04,,1.42,1.524,1.347,1.354,1.163,,0.459,,,
2013-11-11,,1.416,1.517,1.343,1.35,1.163,,0.459,,,
2013-11-18,,1.42,1.527,1.349,1.356,1.163,,0.459,,,
2013-11-25,,1.427,1.535,1.355,1.362,1.163,,0.459,,,
2013-12-02,,1.437,1.541,1.364,1.366,1.163,,0.459,,,
2013-12-09,,1.437,1.536,1.362,1.365,1.163,,0.459,,,
2013-12-16,,1.428,1.528,1.354,1.356,1.163,,0.459,,,
2014-01-06,,1.433,1.534,1.357,1.372,1.163,,0.459,,,
2014-01-13,,1.423,1.527,1.349,1.363,1.163,,0.459,,,
2014-01-20,,1.418,1.523,1.344,1.359,1.163,,0.459,,,
2014-01-27,,1.42,1.523,1.345,1.36,1.163,,0.459,,,
2014-02-03,,1.419,1.523,1.345,1.355,1.163,,0.459,,,
2014-02-10,,1.419,1.523,1.345,1.355,1.163,,0.459,,,
2014-02-17,,1.423,1.535,1.351,1.361,1.163,,0.459,,,
2014-02-24,,1.424,1.534,1.352,1.362,1.163,,0.459,,,
2014-03-03,,1.422,1.535,1.35,1.351,1.163,,0.459,,,
2014-03-10,,1.415,1.526,1.343,1.344,1.163,,0.459,,,
2014-03-17,,1.403,1.518,1.333,1.334,1.163,,0.459,,,
2014-03-24,,1.397,1.517,1.329,1.329,1.163,,0.459,,,
2014-03-31,,1.405,1.531,1.338,1.338,1.163,,0.459,,,
2014-04-07,,1.408,1.538,1.342,1.339,1.163,,0.459,,,
2014-04-14,,1.408,1.544,1.343,1.341,1.163,,0.459,,,
2014-04-21,,1.414,1.553,1.349,1.347,1.163,,0.459,,,
2014-04-28,,1.419,1.561,1.355,1.353,1.163,,0.459,,,
2014-05-05,,1.414,1.554,1.35,1.347,1.163,,0.459,,,
2014-05-12,,1.411,1.555,1.348,1.346,1.163,,0.459,,,
2014-05-19,,1.412,1.551,1.348,1.346,1.163,,0.459,,,
2014-05-26,,1.421,1.558,1.355,1.353,1.163,,0.459,,,
2014-06-02,,1.419,1.559,1.354,1.35,1.163,,0.459,,,
2014-06-09,,1.411,1.564,1.351,1.346,1.163,,0.459,,,
2014-06-16,,1.418,1.576,1.358,1.354,1.163,,0.459,,,
2014-06-23,,1.428,1.586,1.367,1.363,1.163,,0.459,,,
2014-06-30,,1.431,1.589,1.37,1.366,1.163,,0.459,,,
2014-07-07,,1.428,1.592,1.369,1.373,1.163,,0.459,,,
2014-07-14,,1.419,1.588,1.363,1.366,1.163,,0.459,,,
2014-07-21,,1.415,1.581,1.358,1.361,1.163,,0.459,,,
2014-07-28,,1.415,1.578,1.357,1.361,1.163,,0.459,,,
2014-08-04,,1.412,1.566,1.352,1.354,1.163,,0.459,,,
2014-08-11,,1.415,1.561,1.352,1.354,1.163,,0.459,,,
2014-08-18,,1.41,1.555,1.348,1.35,1.163,,0.459,,,
2014-08-25,,1.404,1.551,1.342,1.344,1.163,,0.459,,,
2014-09-01,,1.411,1.558,1.349,1.347,1.163,,0.459,,,
2014-09-08,,1.408,1.556,1.346,1.344,1.163,,0.459,,,
2014-09-15,,1.409,1.558,1.347,1.345,1.163,,0.459,,,
2014-09-22,,1.406,1.557,1.345,1.343,1.163,,0.459,,,
2014-09-29,,1.402,1.554,1.342,1.34,1.163,,0.459,,,
2014-10-06,,1.398,1.55,1.338,1.336,1.163,,0.459,,,
2014-10-13,,1.386,1.54,1.328,1.326,1.163,,0.459,,,
2014-10-20,,1.357,1.498,1.297,1.295,1.163,,0.459,,,
2014-10-27,,1.356,1.493,1.295,1.293,1.163,,0.459,,,
2014-11-03,,1.356,1.49,1.295,1.296,1.163,,0.459,,,
2014-11-10,,1.354,1.483,1.291,1.293,1.163,,0.459,,,
2014-11-17,,1.346,1.47,1.283,1.285,1.163,,0.459,,,
2014-11-24,,1.333,1.463,1.272,1.274,1.163,,0.459,,,
2014-12-01,,1.316,1.445,1.256,1.259,1.163,,0.459,,,
2014-12-08,,1.293,1.417,1.233,1.236,1.163,,0.459,,,
2014-12-15,,1.261,1.378,1.202,1.205,1.163,,0.459,,,
2015-01-05,,1.22,1.327,1.16,1.178,1.163,,0.459,,,
2015-01-12,,1.196,1.301,1.137,1.155,1.163,,0.459,,,
2015-01-19,,1.177,1.286,1.12,1.138,1.163,,0.459,,,
2015-01-26,,1.18,1.291,1.124,1.141,1.163,,0.459,,,
2015-02-02,,1.185,1.294,1.128,1.14,1.163,,0.459,,,
2015-02-09,,1.219,1.329,1.16,1.172,1.163,,0.459,,,
2015-02-16,,1.244,1.35,1.182,1.195,1.163,,0.459,,,
2015-02-23,,1.265,1.366,1.2,1.213,1.163,,0.459,,,
2015-03-02,,1.279,1.384,1.214,1.216,1.163,,0.459,,,
2015-03-09,,1.289,1.407,1.227,1.229,1.163,,0.459,,,
2015-03-16,,1.292,1.422,1.232,1.234,1.163,,0.459,,,
2015-03-23,,1.273,1.414,1.218,1.22,1.163,,0.459,,,
2015-03-30,,1.272,1.423,1.22,1.221,1.163,,0.459,,,
2015-04-13,,1.273,1.431,1.222,1.219,1.163,,0.459,,,
2015-04-20,,1.292,1.449,1.24,1.236,1.163,,0.459,,,
2015-04-27,,1.306,1.465,1.253,1.249,1.163,,0.459,,,
2015-05-04,,1.305,1.465,1.253,1.245,1.163,,0.459,,,
2015-05-11,,1.315,1.475,1.262,1.254,1.163,,0.459,,,
2015-05-18,,1.312,1.471,1.259,1.251,1.163,,0.459,,,
2015-05-25,,1.317,1.48,1.265,1.257,1.163,,0.459,,,
2015-06-01,,1.311,1.476,1.26,1.252,1.163,,0.459,,,
2015-06-08,,1.305,1.474,1.255,1.247,1.163,,0.459,,,
2015-06-15,,1.302,1.485,1.256,1.248,1.163,,0.459,,,
2015-06-22,,1.301,1.492,1.257,1.249,1.163,,0.459,,,
2015-06-29,,1.298,1.488,1.254,1.246,1.163,,0.459,,,
2015-07-06,,1.293,1.492,1.252,1.25,1.163,,0.459,,,
2015-07-13,,1.282,1.501,1.247,1.245,1.163,,0.459,,,
2015-07-20,,1.276,1.497,1.242,1.24,1.163,,0.459,,,
2015-07-27,,1.259,1.481,1.226,1.224,1.163,,0.459,,,
2015-08-03,,1.243,1.472,1.214,1.212,1.163,,0.459,,,
2015-08-10,,1.229,1.455,1.2,1.198,1.163,,0.459,,,
2015-08-17,,1.216,1.437,1.186,1.185,1.163,,0.459,,,
2015-08-24,,1.197,1.399,1.164,1.162,1.163,,0.459,,,
2015-08-31,,1.175,1.367,1.141,1.139,1.163,,0.459,,,
2015-09-07,,1.187,1.368,1.149,1.146,1.163,,0.459,,,
2015-09-14,,1.193,1.367,1.153,1.149,1.163,,0.459,,,
2015-09-21,,1.188,1.36,1.147,1.144,1.163,,0.459,,,
2015-09-28,,1.179,1.342,1.137,1.133,1.163,,0.459,,,
2015-10-05,,1.178,1.333,1.134,1.129,1.163,,0.459,,,
2015-10-12,,1.186,1.338,1.14,1.136,1.163,,0.459,,,
2015-10-19,,1.175,1.328,1.131,1.126,1.163,,0.459,,,
2015-10-26,,1.169,1.321,1.125,1.12,1.163,,0.459,,,
2015-11-02,,1.173,1.325,1.128,1.128,1.163,,0.459,,,
2015-11-09,,1.184,1.337,1.139,1.139,1.163,,0.459,,,
2015-11-16,,1.187,1.342,1.142,1.142,1.163,,0.459,,,
2015-11-23,,1.179,1.335,1.135,1.135,1.163,,0.459,,,
2015-11-30,,1.177,1.336,1.134,1.134,1.163,,0.459,,,
2015-12-07,,1.162,1.325,1.121,1.121,1.163,,0.459,,,
2015-12-14,,1.129,1.3,1.092,1.092,1.163,,0.459,,,
2015-12-21,,1.116,1.293,1.082,1.082,1.163,,0.459,,,
2015-12-28,,1.103,1.286,1.072,1.072,1.163,,0.459,,,
2016-01-04,,1.09,1.279,1.059,1.072,1.163,,0.459,,,
2016-01-11,,1.081,1.272,1.051,1.064,1.163,,0.459,,,
2016-01-18,,1.053,1.249,1.027,1.039,1.163,,0.459,,,
2016-01-25,,1.036,1.246,1.014,1.027,1.163,,0.459,,,
2016-02-01,,1.039,1.248,1.017,1.028,1.163,,0.459,,,
2016-02-08,,1.044,1.238,1.017,1.028,1.163,,0.459,,,
2016-02-15,,1.029,1.21,1,1.011,1.163,,0.459,,,
2016-02-22,,1.041,1.213,1.009,1.02,1.163,,0.459,,,
2016-02-29,,1.044,1.212,1.011,1.022,1.163,,0.459,,,
2016-03-07,,1.059,1.222,1.023,1.025,1.163,,0.459,,,
2016-03-14,,1.082,1.24,1.043,1.045,1.163,,0.459,,,
2016-03-21,,1.089,1.247,1.05,1.051,1.163,,0.459,,,
2016-03-28,,1.086,1.259,1.051,1.053,1.163,,0.459,,,
2016-04-04,,1.084,1.27,1.053,1.051,1.163,,0.459,,,
2016-04-11,,1.071,1.27,1.044,1.042,1.163,,0.459,,,
2016-04-18,,1.087,1.286,1.059,1.057,1.163,,0.459,,,
2016-04-25,,1.101,1.3,1.072,1.07,1.163,,0.459,,,
2016-05-02,,1.116,1.309,1.084,1.078,1.163,,0.459,,,
2016-05-09,,1.116,1.304,1.083,1.077,1.163,,0.459,,,
2016-05-16,,1.123,1.309,1.089,1.083,1.163,,0.459,,,
2016-05-23,,1.142,1.324,1.105,1.099,1.163,,0.459,,,
2016-05-30,,1.167,1.344,1.127,1.121,1.163,,0.459,,,
2016-06-06,,1.169,1.343,1.128,1.12,1.163,,0.459,,,
2016-06-13,,1.167,1.336,1.125,1.116,1.163,,0.459,,,
2016-06-20,,1.164,1.333,1.122,1.113,1.163,,0.459,,,
2016-06-27,,1.153,1.322,1.112,1.103,1.163,,0.459,,,
2016-07-04,,1.152,1.318,1.111,1.107,1.163,,0.459,,,
2016-07-11,,1.142,1.299,1.099,1.095,1.163,,0.459,,,
2016-07-18,,1.14,1.297,1.097,1.093,1.163,,0.459,,,
2016-07-25,,1.136,1.291,1.093,1.089,1.163,,0.459,,,
2016-08-01,,1.119,1.278,1.078,1.074,1.163,,0.459,,,
2016-08-08,,1.108,1.27,1.069,1.064,1.163,,0.459,,,
2016-08-15,,1.111,1.268,1.07,1.066,1.163,,0.459,,,
2016-08-22,,1.129,1.282,1.086,1.081,1.163,,0.459,,,
2016-08-29,,1.141,1.293,1.096,1.092,1.163,,0.459,,,
2016-09-05,,1.138,1.291,1.094,1.086,1.163,,0.459,,,
2016-09-12,,1.141,1.299,1.098,1.09,1.163,,0.459,,,
2016-09-19,,1.135,1.295,1.093,1.085,1.163,,0.459,,,
2016-09-26,,1.134,1.29,1.092,1.084,1.163,,0.459,,,
2016-10-03,,1.14,1.295,1.097,1.087,1.163,,0.459,,,
2016-10-10,,1.153,1.302,1.107,1.097,1.163,,0.459,,,
2016-10-17,,1.166,1.307,1.117,1.107,1.163,,0.459,,,
2016-10-24,,1.174,1.314,1.125,1.114,1.163,,0.459,,,
2016-10-31,,1.175,1.313,1.125,1.114,1.163,,0.459,,,
2016-11-07,,1.167,1.309,1.119,1.111,1.163,,0.459,,,
2016-11-14,,1.159,1.305,1.112,1.104,1.163,,0.459,,,
2016-11-21,,1.157,1.299,1.109,1.102,1.163,,0.459,,,
2016-11-28,,1.171,1.31,1.121,1.114,1.163,,0.459,,,
2016-12-05,,1.185,1.325,1.134,1.121,1.163,,0.459,,,
2016-12-12,,1.201,1.339,1.149,1.136,1.163,,0.459,,,
2016-12-19,,1.217,1.352,1.163,1.15,1.163,,0.459,,,
2017-01-02,,1.235,1.371,1.179,1.174,1.163,,0.459,,,
2017-01-09,,1.247,1.377,1.19,1.184,1.163,,0.459,,,
2017-01-16,,1.241,1.373,1.184,1.179,1.163,,0.459,,,
2017-01-23,,1.24,1.378,1.185,1.179,1.163,,0.459,,,
2017-01-30,,1.244,1.384,1.189,1.184,1.163,,0.459,,,
2017-02-06,,1.243,1.385,1.189,1.178,1.163,,0.459,,,
2017-02-13,,1.246,1.391,1.192,1.182,1.163,,0.459,,,
2017-02-20,,1.247,1.393,1.193,1.183,1.163,,0.459,,,
2017-02-27,,1.248,1.392,1.194,1.184,1.163,,0.459,,,
2017-03-06,,1.245,1.382,1.189,1.171,1.163,,0.459,,,
2017-03-13,,1.236,1.37,1.18,1.162,1.163,,0.459,,,
2017-03-20,,1.222,1.356,1.167,1.149,1.163,,0.459,,,
2017-03-27,,1.212,1.349,1.158,1.141,1.163,,0.459,,,
2017-04-03,,1.214,1.361,1.163,1.138,1.163,,0.459,,,
2017-04-10,,1.227,1.375,1.175,1.15,1.163,,0.459,,,
2017-04-24,,1.238,1.388,1.186,1.161,1.163,,0.459,,,
2017-05-01,,1.227,1.378,1.176,1.151,1.163,,0.459,,,
2017-05-08,,1.21,1.361,1.16,1.135,1.163,,0.459,,,
2017-05-15,,1.199,1.353,1.151,1.126,1.163,,0.459,,,
2017-05-22,,1.198,1.351,1.15,1.125,1.163,,0.459,,,
2017-05-29,,1.2,1.35,1.151,1.126,1.163,,0.459,,,
2017-06-05,,1.194,1.346,1.146,1.12,1.163,,0.459,,,
2017-06-12,,1.174,1.332,1.129,1.103,1.163,,0.459,,,
2017-06-19,,1.167,1.325,1.122,1.097,1.163,,0.459,,,
2017-06-26,,1.157,1.314,1.113,1.088,1.163,,0.459,,,
2017-07-03,,1.155,1.312,1.111,1.09,1.163,,0.459,,,
2017-07-10,,1.161,1.311,1.115,1.093,1.163,,0.459,,,
2017-07-17,,1.164,1.315,1.118,1.096,1.163,,0.459,,,
2017-07-24,,1.164,1.313,1.117,1.096,1.163,,0.459,,,
2017-07-31,,1.166,1.315,1.119,1.098,1.163,,0.459,,,
2017-08-07,,1.177,1.319,1.127,1.103,1.163,,0.459,,,
2017-08-14,,1.178,1.321,1.129,1.105,1.163,,0.459,,,
2017-08-21,,1.174,1.319,1.125,1.101,1.163,,0.459,,,
2017-08-28,,1.173,1.321,1.125,1.101,1.163,,0.459,,,
2017-09-04,,1.18,1.339,1.135,1.107,1.163,,0.459,,,
2017-09-11,,1.196,1.354,1.149,1.121,1.163,,0.459,,,
2017-09-18,,1.203,1.356,1.155,1.126,1.163,,0.459,,,
2017-09-25,,1.211,1.354,1.159,1.131,1.163,,0.459,,,
2017-10-02,,1.221,1.349,1.164,1.135,1.163,,0.459,,,
2017-10-09,,1.22,1.342,1.163,1.133,1.163,,0.459,,,
2017-10-16,,1.218,1.341,1.16,1.131,1.163,,0.459,,,
2017-10-23,,1.22,1.339,1.161,1.132,1.163,,0.459,,,
2017-10-30,,1.225,1.349,1.167,1.137,1.163,,0.459,,,
2017-11-06,,1.236,1.364,1.178,1.15,1.163,,0.459,,,
2017-11-13,,1.239,1.365,1.181,1.152,1.163,,0.459,,,
2017-11-20,,1.246,1.367,1.186,1.157,1.163,,0.459,,,
2017-11-27,,1.246,1.366,1.185,1.157,1.163,,0.459,,,
2017-12-04,,1.247,1.366,1.186,1.154,1.163,,0.459,,,
2017-12-11,,1.242,1.359,1.181,1.149,1.163,,0.459,,,
2017-12-18,,1.248,1.363,1.187,1.154,1.163,,0.459,,,
2018-01-01,,1.26,1.375,1.197,1.173,1.163,,0.459,,,
2018-01-08,,1.283,1.382,1.215,1.191,1.163,,0.459,,,
2018-01-15,,1.283,1.38,1.214,1.19,1.163,,0.459,,,
2018-01-22,,1.285,1.384,1.216,1.192,1.163,,0.459,,,
2018-01-29,,1.287,1.391,1.219,1.195,1.163,,0.459,,,
2018-02-05,,1.284,1.388,1.217,1.19,1.163,,0.459,,,
2018-02-12,,1.273,1.378,1.207,1.18,1.163,,0.459,,,
2018-02-19,,1.257,1.363,1.192,1.166,1.163,,0.459,,,
2018-02-26,,1.259,1.361,1.193,1.166,1.163,,0.459,,,
2018-03-05,,1.258,1.356,1.191,1.155,1.163,,0.459,,,
2018-03-12,,1.253,1.349,1.186,1.15,1.163,,0.459,,,
2018-03-19,,1.255,1.352,1.188,1.152,1.163,,0.459,,,
2018-03-26,,1.266,1.358,1.197,1.161,1.163,,0.459,,,
2018-04-09,,1.278,1.383,1.212,1.169,1.163,,0.459,,,
2018-04-16,,1.291,1.396,1.224,1.181,1.163,,0.459,,,
2018-04-23,,1.297,1.401,1.229,1.186,1.163,,0.459,,,
2018-04-30,,1.309,1.412,1.239,1.196,1.163,,0.459,,,
2018-05-07,,1.316,1.419,1.246,1.195,1.163,,0.459,,,
2018-05-14,,1.333,1.437,1.263,1.211,1.163,,0.459,,,
2018-05-21,,1.356,1.461,1.284,1.232,1.163,,0.459,,,
2018-05-28,,1.371,1.474,1.297,1.244,1.163,,0.459,,,
2018-06-04,,1.374,1.476,1.3,1.244,1.163,,0.459,,,
2018-06-11,,1.363,1.467,1.29,1.236,1.163,,0.459,,,
2018-06-18,,1.359,1.461,1.286,1.231,1.163,,0.459,,,
2018-06-25,,1.35,1.452,1.278,1.223,1.163,,0.459,,,
2018-07-02,,1.35,1.453,1.277,1.226,1.163,,0.459,,,
2018-07-09,,1.355,1.458,1.282,1.23,1.163,,0.459,,,
2018-07-16,,1.354,1.459,1.282,1.23,1.163,,0.459,,,
2018-07-23,,1.345,1.451,1.274,1.222,1.163,,0.459,,,
2018-07-30,,1.349,1.459,1.279,1.227,1.163,,0.459,,,
2018-08-06,,1.352,1.466,1.282,1.228,1.163,,0.459,,,
2018-08-13,,1.352,1.465,1.282,1.228,1.163,,0.459,,,
2018-08-20,,1.355,1.465,1.284,1.23,1.163,,0.459,,,
2018-08-27,,1.358,1.468,1.287,1.232,1.163,,0.459,,,
2018-09-03,,1.365,1.473,1.293,1.234,1.163,,0.459,,,
